id,company_name,amount_in_dinars,project_title,duration,date,wilaya,commune,cancelled,cancellation_reason,source_post_id,source_link,source_image_url
1,مؤسسة جمع وإزالة القمامة تومي عاشور قسنطينة,"2.605.624,00",جمع وكنس ورفع النفايات، النفايات المنزلية وما شابهها. الحصة رقم 06: الانطلاق من مركز التكوين المهني - شارع بن عودة عمر - محور دوران مسجد البشير الإبراهيمي - إلى غاية نهاية شارع خطاب أحمد مرورا بالشارع الأخير من حي خطاب أحمد، شارع الحرية ( مدرسة جمعون عيسى),184 يوم,15 جويلية 2026,ميلة,تاجنانت,0,,997637236364379,https://www.facebook.com/permalink.php?story_fbid=pfbid02m9MpKX4EQusmz9CqQicwwroCSQU64wTxSmmWsnuMwoxaRiQzwS21CF1Xz7kUce8sl&id=100083543343398,https://scontent-mia3-2.xx.fbcdn.net/v/t39.99422-6/749055454_2110949396439928_5740902497662190368_n.png?stp=dst-jpg_tt6&cstp=mx1448x2048&ctp=s720x720&_nc_cat=107&ccb=1-7&_nc_sid=127cfc&_nc_ohc=dKSbMi7O_OcQ7kNvwFS5enG&_nc_oc=AdoslwZkafFG-yyaUnkY5JgpSzWD7sscjyJXXbKR7QfzHwoCUeWki1kjBk3p3c-gYCg&_nc_zt=14&_nc_ht=scontent-mia3-2.xx&_nc_gid=2YJnJnqJMkZQhhStCG5lQg&_nc_ss=72289&oh=00_AQBaBUo6hR2WWcN4bvQ227uIroL_vfZEv4OFoBWOaczawg&oe=6A5FF241
2,م ذ ش و ذ م م تيرافلو تاجنانت,"7.977.165,00",إعادة الاعتبار للخزان المائي المرتفع 1000 م³ بحي 412 مسكن بلدية تاجنانت مع تجديد جزء من قناة التوزيع,شهرين و خمسة أيام,2026/07/13,ميلة,تاجنانت,0,,995146123280157,https://www.facebook.com/permalink.php?story_fbid=pfbid02pq5pU95BEPiERRdsSALCx8CGZ7xN65MaYezwYC567GTZ3T8zA2qmbRbzWRJiPLADl&id=100083543343398,https://scontent-dfw6-1.xx.fbcdn.net/v/t39.99422-6/747038338_887288567760629_1399425446243130078_n.png?stp=dst-jpg_tt6&cstp=mx1240x1754&ctp=s590x590&_nc_cat=102&ccb=1-7&_nc_sid=127cfc&_nc_ohc=ReGGqCRtDmIQ7kNvwGCs99p&_nc_oc=AdqAKgNmrYtah8UY7EgftME0r1XCsNkdBIjoNdmetHtpLestqUjocflX1RTltZoBkMI&_nc_zt=14&_nc_ht=scontent-dfw6-1.xx&_nc_gid=fR_7g-e-U_kY_vw1MA6d4g&_nc_ss=72289&oh=00_AQDdQp21ZsUgeRZBR5WEpCfC8GpR2U7CasYhwmbS19Gumg&oe=6A5FEBF2
3,تجارة بالتجزئة للمكتبة والوراقة حمزة فاروق بايسم - الخروب - قسنطينة,"4.740.850,00",إقتناء الأدوات المدرسية للتلاميذ المعوزين,03 أيام,2026,ميلة,تاجنانت,0,,995146123280157,https://www.facebook.com/permalink.php?story_fbid=pfbid02pq5pU95BEPiERRdsSALCx8CGZ7xN65MaYezwYC567GTZ3T8zA2qmbRbzWRJiPLADl&id=100083543343398,https://scontent-dfw6-1.xx.fbcdn.net/v/t39.99422-6/745908404_1549713470025613_6689698590825840612_n.png?stp=dst-jpg_tt6&cstp=mx1240x1754&ctp=s590x590&_nc_cat=102&ccb=1-7&_nc_sid=127cfc&_nc_ohc=MaM2hWVw14EQ7kNvwET6thW&_nc_oc=AdrFQvzvfw11itGdIn_t-QuBSflid3FoSeRA2WX5TP-co7usXjlapRz62skpIqi2OkY&_nc_zt=14&_nc_ht=scontent-dfw6-1.xx&_nc_gid=fR_7g-e-U_kY_vw1MA6d4g&_nc_ss=72289&oh=00_AQD9c7XO-f65t8DWQ0h0BreRfSHBu-Fis9m-RjBUGxswTw&oe=6A5FDA44
4,تجارة بالتجزئة لعتاد الإعلام الآلي الكمبيوتر، لواحقه ومستهلكات حنان مسعي - شلفوم العيد,"3.814.000,00",إقتناء جوائز و منح تشجيعية للطلبة الأوائل,10 أيام,13 جويلية 2026,ميلة,تاجنانت,0,,995146123280157,https://www.facebook.com/permalink.php?story_fbid=pfbid02pq5pU95BEPiERRdsSALCx8CGZ7xN65MaYezwYC567GTZ3T8zA2qmbRbzWRJiPLADl&id=100083543343398,https://scontent-dfw5-1.xx.fbcdn.net/v/t39.99422-6/746452193_2175416503308705_4666275867713477924_n.png?stp=dst-jpg_tt6&cstp=mx1240x1754&ctp=s590x590&_nc_cat=105&ccb=1-7&_nc_sid=127cfc&_nc_ohc=7Z1LRrlal1oQ7kNvwEi0a_3&_nc_oc=Adrx7c46Xc47tGPQ4_-9CDq2igEOp7ALS4MJPEhpCxHeUGwUef21UMtbpypJ9N2mE98&_nc_zt=14&_nc_ht=scontent-dfw5-1.xx&_nc_gid=fR_7g-e-U_kY_vw1MA6d4g&_nc_ss=72289&oh=00_AQDBPZW4tUI2CRdgPTupVKGGsZDqELtszW4WOygIAmecog&oe=6A5FF5E5
5,تجارة بالتجزئة للمكتبة والوراقة - حنان مسعي شلغوم العيد,"4 453 250,00",أدوات ولوازم مكتبية (لوازم مكتبية),10 أيام,21 جوان 2026,ميلة,تاجنانت,0,,976478781813558,https://www.facebook.com/permalink.php?story_fbid=pfbid02UL1DvjA8z4MWfM8rn4QPyepUNEoQvqmJSRgNca1C4Q2kVvpWawC5A4rFXpMSkgR8l&id=100083543343398,https://scontent-iad3-1.xx.fbcdn.net/v/t39.99422-6/727205765_991293013535010_7452420975111118269_n.png?stp=dst-jpg_tt6&cstp=mx1448x2048&ctp=s590x590&_nc_cat=108&ccb=1-7&_nc_sid=127cfc&_nc_ohc=5jIFtf4ujQwQ7kNvwHeVg0q&_nc_oc=AdqN-ndMnj_WY2gxxKwdwwGoPVXVo2JbuFdcaA6HM_8FqNnFoGyxzEuu1djPdvURVBY&_nc_zt=14&_nc_ht=scontent-iad3-1.xx&_nc_gid=tuH7joVowY_gR8AYyFYEuw&_nc_ss=72289&oh=00_AQD6Xy9ZJdESjc5gQ3dYfcYRTNGDJB-HRtgnIdINiasJBQ&oe=6A5FEFB1
6,تجارة بالتجزئة لمعدات المكافحة ضد الحريق نعيمة بوداحة - برج بوعريريج,"100.000,00",لوازم المطافات ( تعبئة المطافئ ),20 يوم,21 جوان 2026,ميلة,تاجنة,0,,976478781813558,https://www.facebook.com/permalink.php?story_fbid=pfbid02UL1DvjA8z4MWfM8rn4QPyepUNEoQvqmJSRgNca1C4Q2kVvpWawC5A4rFXpMSkgR8l&id=100083543343398,https://scontent-iad6-1.xx.fbcdn.net/v/t39.99422-6/726938260_4386906381638155_3213498691491678953_n.png?stp=dst-jpg_tt6&cstp=mx1448x2048&ctp=s590x590&_nc_cat=107&ccb=1-7&_nc_sid=127cfc&_nc_ohc=BDBWqdogMEYQ7kNvwFFBlGR&_nc_oc=AdqdHb-UYwKQonwPGvxfFK3QCz4U83rkYEyBira51rU7emas6ufYKNXi1yVdrRplNw0&_nc_zt=14&_nc_ht=scontent-iad6-1.xx&_nc_gid=tuH7joVowY_gR8AYyFYEuw&_nc_ss=72289&oh=00_AQBZVNZYiaSFTWiZ-iNxTWeKsurXz8FN1EcLOPyiOWAcFQ&oe=6A5FC67B
7,تجمع مكاتب الدراسات NOVA ARCHI ديب، مخناش، سعيدي ميلة,"3.895.546,22",دراسة ومتابعة انجاز محلات تجارية و مهنية,مدة الدراسة 60 يوم، مدة المتابعة 04 أشهر,2026/06/01,ميلة,تاجنانت,1,عدم توفر الغلاف المالي,959132896881480,https://www.facebook.com/permalink.php?story_fbid=pfbid0zsHRfnTsoVcvkVnbKvvPoicsJSiXvtqFsPciB1UyX2CFXHW4q8oVgS1GpMdKMNL7l&id=100083543343398,https://scontent-ord5-3.xx.fbcdn.net/v/t39.30808-6/713288875_959132866881483_3639125310638362566_n.jpg?stp=dst-jpg_tt6&cstp=mx1448x2048&ctp=s720x720&_nc_cat=108&_nc_map=urlgen_bucketless&ccb=1-7&_nc_sid=127cfc&_nc_ohc=JuS_DHT2LXwQ7kNvwEAG7Jy&_nc_oc=AdpSH12Cc5x6-4hp0anWqnKp0Px7sZsLhxUwdA8vZGVpQR88eV4qOEhwhJE5nnO--TR38Ud4t_jp9im6v6wwIDCd&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&_nc_gid=aVy5ALRvXnDbgY5dV1SXbQ&_nc_ss=72289&oh=00_AQBAVT-JZMJ9Bgkoq3A1AkuaCFt9r9D-QkW5ZlwoBoh0fQ&oe=6A5FE065
8,GROUPEMENT ARCHI DESIGN MILA,"670.624,50",الحصة 05: مشتى فيض مسعودة (لعلالشة),20 يوم,10 جوان 2026,ميلة,تاجنانت,0,,967339396060830,https://www.facebook.com/permalink.php?story_fbid=pfbid0RqC8Mye3ZJUnM5YULj3kBXiWLfe8r6PJtDhXGd4ZnvibCCbiStpRC9o7X9Ua5Bocl&id=100083543343398,https://scontent-hou1-1.xx.fbcdn.net/v/t39.99422-6/720230099_2492361191201767_2109203770432582937_n.png?stp=dst-jpg_tt6&cstp=mx1477x2048&ctp=s590x590&_nc_cat=111&ccb=1-7&_nc_sid=127cfc&_nc_ohc=f-oJEA4g_74Q7kNvwGLaD0j&_nc_oc=Adoh5_byAX7r8YnBnfIvVlc3eHzfi4b4hZa_NOXYmCZn6TY9h3SQeb8-3txuH11XtlI&_nc_zt=14&_nc_ht=scontent-hou1-1.xx&_nc_gid=UJrK_NbZ6KZ24MdNg4O2wg&_nc_ss=7d289&oh=00_AQDeyEeR62VDlRmIxH4-rUHDAw9PcNFOSp6To38_rfrVfQ&oe=6A5FD270
9,تجمع الكرامة بسكرة,"1.785.000,00",انجاز دراسة لإعداد المخطط التوجيهي البلدي لتسيير النفايات المنزلية وما شابهها,03 اشهر,10 جوان 2026,ميلة,تاجنانت,0,,967339396060830,https://www.facebook.com/permalink.php?story_fbid=pfbid0RqC8Mye3ZJUnM5YULj3kBXiWLfe8r6PJtDhXGd4ZnvibCCbiStpRC9o7X9Ua5Bocl&id=100083543343398,https://scontent-hou1-1.xx.fbcdn.net/v/t39.99422-6/720341553_2020609651873506_270203956504163095_n.png?stp=dst-jpg_tt6&cstp=mx1459x2048&ctp=p417x417&_nc_cat=106&ccb=1-7&_nc_sid=127cfc&_nc_ohc=jIdQgCoFfOEQ7kNvwECxqfN&_nc_oc=AdpS0Di8TOQ5w5XSd4rbwcb-NFMmtAXHvY0Kfe6psn4WwZ2gmWgs6Ihrm1WJ0SSyXDk&_nc_zt=14&_nc_ht=scontent-hou1-1.xx&_nc_gid=UJrK_NbZ6KZ24MdNg4O2wg&_nc_ss=7d289&oh=00_AQBblp9Yx-dgV-aF5TmuUUwxW9CeF1z8PwRLZicxp5zc8Q&oe=6A5FE089
10,مكتب الدراسة و المتابعة في الري وفاي عزالدين بريكة - باتنة,"142.800,00",إنجاز مختلف الدراسات و المتابعات حصة : إنجاز دراسة توسيع شبكة المياه الصالحة للشرب للجهة الشمالية لمدينة تاجنانت,20 يوم,10 جوان 2026,ميلة,تاجنانت,0,,967339396060830,https://www.facebook.com/permalink.php?story_fbid=pfbid0RqC8Mye3ZJUnM5YULj3kBXiWLfe8r6PJtDhXGd4ZnvibCCbiStpRC9o7X9Ua5Bocl&id=100083543343398,https://scontent-hou1-1.xx.fbcdn.net/v/t39.99422-6/720146776_1532256592018048_8472767667096624982_n.png?stp=dst-jpg_tt6&cstp=mx1472x2048&ctp=s590x590&_nc_cat=106&ccb=1-7&_nc_sid=127cfc&_nc_ohc=_nRfqL0AHnIQ7kNvwFNtzPv&_nc_oc=AdotL6SNCL8Ru9bu47_xGmDO15bubdBHy4Dp-p4kd6-ukMT1gkuZCW5pcj_F0_7ZsFI&_nc_zt=14&_nc_ht=scontent-hou1-1.xx&_nc_gid=UJrK_NbZ6KZ24MdNg4O2wg&_nc_ss=7d289&oh=00_AQBJh_q-_Il-4c_pC5vPvjQ3-YqrN3ZTsgeHTADJyFs_2A&oe=6A5FD3B8
